experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
rf_unscaled_all_no_norm_201img_400x_seed_42,rf,400x,all,,201,201,False,0.758,0.05,0.83,0.048,0.811,0.061,0.738,0.055,0.766,0.048,0.798,0.061,0.719,0.072,0.52,0.1,0.737,0.779
rf_unscaled_all_no_norm_20img_100x_seed_42,rf,100x,all,,20,20,False,0.681,0.165,0.818,0.169,0.874,0.127,0.706,0.238,0.661,0.219,0.68,0.275,0.68,0.264,0.38,0.352,0.613,0.749
rf_unscaled_all_no_norm_20img_400x_seed_42,rf,400x,all,,20,20,False,0.524,0.171,0.562,0.225,0.676,0.154,0.528,0.197,0.547,0.209,0.62,0.299,0.413,0.269,0.047,0.381,0.454,0.595
rf_unscaled_all_no_norm_89img_100x_seed_42,rf,100x,all,,89,89,False,0.808,0.052,0.897,0.043,0.905,0.045,0.865,0.08,0.789,0.069,0.74,0.118,0.875,0.085,0.63,0.099,0.787,0.829
rf_unscaled_all_no_norm_full_100x_seed_42,rf,100x,all,,89,439,False,0.891,0.02,0.933,0.025,0.985,0.007,0.898,0.02,0.938,0.011,0.981,0.014,0.449,0.128,0.555,0.103,0.883,0.899
rf_unscaled_all_no_norm_full_400x_seed_42,rf,400x,all,,201,495,False,0.82,0.026,0.855,0.033,0.921,0.021,0.818,0.021,0.883,0.017,0.958,0.023,0.487,0.072,0.538,0.076,0.809,0.831
rf_unscaled_all_reinhard_201img_400x_seed_42,rf,400x,all,reinhard,201,201,False,0.758,0.05,0.83,0.048,0.811,0.061,0.738,0.055,0.766,0.048,0.798,0.061,0.719,0.072,0.52,0.1,0.737,0.779
rf_unscaled_all_reinhard_20img_100x_seed_42,rf,100x,all,reinhard,20,20,False,0.681,0.165,0.818,0.169,0.874,0.127,0.706,0.238,0.661,0.219,0.68,0.275,0.68,0.264,0.38,0.352,0.613,0.749
rf_unscaled_all_reinhard_20img_400x_seed_42,rf,400x,all,reinhard,20,20,False,0.524,0.171,0.562,0.225,0.676,0.154,0.528,0.197,0.547,0.209,0.62,0.299,0.413,0.269,0.047,0.381,0.454,0.595
rf_unscaled_all_reinhard_89img_100x_seed_42,rf,100x,all,reinhard,89,89,False,0.808,0.052,0.897,0.043,0.905,0.045,0.865,0.08,0.789,0.069,0.74,0.118,0.875,0.085,0.63,0.099,0.787,0.829
rf_unscaled_all_reinhard_full_100x_seed_42,rf,100x,all,reinhard,89,439,False,0.891,0.02,0.933,0.025,0.985,0.007,0.898,0.02,0.938,0.011,0.981,0.014,0.449,0.128,0.555,0.103,0.883,0.899
rf_unscaled_all_reinhard_full_400x_seed_42,rf,400x,all,reinhard,201,495,False,0.82,0.026,0.855,0.033,0.921,0.021,0.818,0.021,0.883,0.017,0.958,0.023,0.487,0.072,0.538,0.076,0.809,0.831
